"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2024","63,106.9","61,754.8","63,298.1","61,596.5","133.30K","2.18%"
"09/18/2024","61,757.6","60,308.5","61,757.6","59,210.7","105.57K","2.40%"
"09/17/2024","60,309.1","58,213.1","61,309.0","57,630.2","106.30K","3.60%"
"09/16/2024","58,213.1","59,126.2","59,204.3","57,527.8","87.60K","-1.56%"
"09/15/2024","59,138.5","59,995.6","60,377.6","58,717.9","47.01K","-1.43%"
"09/14/2024","59,995.4","60,514.8","60,609.4","59,494.3","44.47K","-0.85%"
"09/13/2024","60,511.6","58,134.4","60,625.4","57,656.8","102.12K","4.09%"
"09/12/2024","58,134.5","57,335.5","58,484.1","57,329.6","98.42K","1.39%"
"09/11/2024","57,338.7","57,638.0","57,975.9","55,576.6","102.15K","-0.51%"
"09/10/2024","57,635.0","57,045.6","58,019.9","56,415.3","77.65K","1.03%"
"09/09/2024","57,049.6","54,868.0","57,956.7","54,595.4","105.33K","3.99%"
"09/08/2024","54,861.3","54,161.4","55,292.7","53,642.4","51.99K","1.30%"
"09/07/2024","54,156.5","53,965.0","54,819.2","53,754.3","58.11K","0.35%"
"09/06/2024","53,966.8","56,179.7","56,969.1","52,644.6","155.84K","-3.94%"
"09/05/2024","56,183.2","57,970.7","58,318.9","55,744.6","90.36K","-3.09%"
"09/04/2024","57,973.4","57,490.4","58,508.8","55,732.1","108.44K","0.86%"
"09/03/2024","57,479.8","59,133.7","59,799.7","57,436.9","74.77K","-2.80%"
"09/02/2024","59,134.0","57,309.0","59,416.6","57,185.8","73.18K","3.17%"
"09/01/2024","57,315.7","58,975.7","59,058.7","57,232.4","63.95K","-2.82%"
"08/31/2024","58,978.6","59,120.4","59,447.0","58,761.1","30.86K","-0.24%"
"08/30/2024","59,119.7","59,371.7","59,817.6","57,874.7","87.31K","-0.43%"
"08/29/2024","59,373.5","59,027.3","61,150.6","58,807.1","87.19K","0.61%"
"08/28/2024","59,016.0","59,425.6","60,198.4","57,912.1","109.47K","-0.73%"
"08/27/2024","59,450.9","62,832.2","63,201.4","58,187.3","108.53K","-5.40%"
"08/26/2024","62,846.2","64,240.7","64,472.5","62,841.1","68.89K","-2.22%"
"08/25/2024","64,273.2","64,160.7","64,939.2","63,796.6","41.61K","0.18%"
"08/24/2024","64,159.3","64,061.7","64,458.9","63,579.5","54.14K","0.17%"
"08/23/2024","64,053.1","60,374.7","64,830.1","60,354.4","125.50K","6.10%"
"08/22/2024","60,372.2","61,158.3","61,399.7","59,815.8","74.39K","-1.29%"
"08/21/2024","61,158.1","59,010.0","61,812.0","58,831.1","91.31K","3.65%"
"08/20/2024","59,005.8","59,470.3","61,331.6","58,612.0","69.77K","-0.78%"
"08/19/2024","59,470.9","58,445.8","59,598.5","57,872.0","49.19K","1.75%"
